id,email,encrypted_password,confirmation_token,remember_token,legacy_uuid,first_name,last_name,legacy_candidate_id,created_at,updated_at,phone_number,headline,facebook_username,linkedin_username,twitter_username,gender,military_status,race,last_signed_in_at,admin,marketable,legacy_resume_exists,professional_networkable,deleted_at,legacy_profile_photo_exists,apns_token
1,admin@example.com,$2a$10$T0wZEFd2JbQN85MpDv23mOIBS8lCfAvziP7dq7HMGPMQsS4iCJadO,,443f399785737bd175a6ba6f9f1a0b3f6e51462f,f1bcf436-944a-48f5-8e95-25993f484359,Serena-1,Williams,1,06:30.8,14:54.0,,,fb-user,linkedin-user,twitter-user,,,,14:54.0,t,f,f,t,,f,token
3,reviewer@example.com,$2a$10$MMO0RTfsu5X.Dj.nu.eyqeLVpYTYTYZvyl6QJPdKFcUc7dnD7tvDm,,83f6a0a68bc21451082747617123c01b1e03e347,57142dae-a1df-4809-8fed-c9c45e8d7055,Serena-3,Reviewer,3,06:32.2,06:32.2,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
4,candidate@example.com,$2a$10$fOv2laVSpM4SRQxDC67iHOyDGgKs8PYEWgWRn4hmFojPBc2imjq5q,,2c5c616a47fd250dbf0f512080761d76aa8ad2ad,b918d277-2043-4ea8-ada2-5b85f5affb59,Serena-4,Candidate,4,06:32.3,06:32.3,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
5,user+1@example.com,$2a$10$Opasz4lDvhIfN5slJfRa1.676yi3bc9T2chczuI5idRiTdyIDCz92,,952555a2118511277289effe39efe33d29bc0f77,d6ee7298-0b54-4102-90be-08df9023b370,Serena-5,Williams,5,06:32.5,06:32.5,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
6,user+2@example.com,$2a$10$vW.koBUSaPvtIMMgC5JWzeIUzKjd.V0ngKoQMoHpERVrwWLn6yXH2,,37caaed56fd204cd2d8c82d484e8ce4ae329bf4f,3e545517-00bc-4a64-9dd2-ea6d6920f7d2,Serena-6,Williams,6,06:32.6,06:32.6,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
7,user+4@example.com,$2a$10$kmC6EBwdObiLhbJjEYqSBu6O0xI7qHJQpdGZu5.HWs5c3vCl47fk6,,76278d0cd10d3c1a932f03ba04124dab860d38ac,748e1ce1-b909-4cfd-8576-391e85b39952,Serena-8,Williams,8,06:33.0,06:33.0,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
8,user+5@example.com,$2a$10$.2VGP5vlUmTs1aYXYP0p/ec5urdABYl16GRtNEGDSQJAi5ikRcttG,,0529d45515b0c26bc648c1a1475eb7de6a98dcbc,9a983775-04ec-415d-9021-47c25918c2af,Serena-9,Williams,9,06:33.1,06:33.1,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
9,user+6@example.com,$2a$10$xyzrxYtsdcU5Syz1vUNJbe4dCgZ4ZWysGut3sIGYLkYvevWe0WZwu,,655c611f89f37ea8e0ab88697fcb7deaa71787d5,f3a34225-15a7-4dec-a9ed-927836d7b3b7,Serena-10,Williams,10,06:33.3,06:33.3,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
19,user+18@example.com,$2a$10$nWaBq5zZ/NPhqaJZ51FVKOdhz./Rbxljbdleep5DkVqMOrMaK8YPC,,d319e8625d64fb9e789b3da2fe766a0dcc259525,93862dd0-c85e-4eb0-8876-f6f7362a9a72,Serena-22,Williams,22,06:34.9,06:34.9,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
11,user+8@example.com,$2a$10$F/hLKnH6zCNJu62f3vR46uWwsWKn3zQUs8c5.3bJa1hjBoNI3Qdu6,,9fabaeac7584edd2adb2fd0e77587251a4a0bda5,ea6e54c9-329b-484b-9d8a-20ab668696d4,Serena-12,Williams,12,06:33.7,06:33.7,,,fb-user,linkedin-user,twitter-user,,,,,f,f,f,t,,f,token
